Column1,Column2,Column3,Column32,Column33,Column4,Column5
021540-99999 ,VIDSEL                          ,65.875,20.15,182,01/07/1977,01/02/2023
021610-99999 ,NATTAVAARA                      ,66.75,20.933,327,01/01/1973,01/02/2023
021640-99999 ,PALKEM                          ,66.383,21.633,263,01/05/1973,19/07/2003
021710-99999 ,BODEN                           ,65.817,21.633,18,02/08/1979,01/02/2023
021730-99999 ,ALVSBYN                         ,65.667,21.067,43,01/07/2001,01/02/2023
021740-99999 ,LAKATRASK                       ,66.283,21.133,186,01/07/2001,01/02/2023
021760-99999 ,PITE-RONNSKAR                   ,65.033,21.567,4,01/09/1997,01/02/2023
021810-99999 ,OVERKALIX SVARTBYN              ,66.267,22.85,62,01/08/1996,01/02/2023
021840-99999 ,PAHAROVA                        ,66.817,22.333,229,01/07/2001,01/02/2023
021860-99999 ,KALLAX                          ,65.544,22.122,19.8,01/07/1977,01/02/2023
021880-99999 ,RODKALLEN                       ,65.317,22.383,2,01/01/1973,01/02/2023
021910-99999 ,STORON                          ,65.7,23.1,4,01/07/2001,01/02/2023
021960-99999 ,HAPARANDA                       ,65.833,24.15,6,01/01/1931,31/12/1997
021990-99999 ,YLINENJARVI                     ,66.617,23.467,132,01/07/2001,01/02/2023
022000-99999 ,EDEVIK                          ,63.983,12.867,425,01/07/1977,25/12/2004
022060-99999 ,STORLIEN-STORVALLEN             ,63.283,12.133,583,01/01/1935,31/12/1997
022090-99999 ,SYLARNA                         ,63.05,12.283,1030,01/01/1973,01/02/2023
022160-99999 ,MATTMAR                         ,63.3,13.883,365,01/01/1973,21/04/2016
022210-99999 ,KORSVATTNET                     ,63.833,13.5,717,01/12/1997,01/02/2023
022220-99999 ,GADDEDE                         ,64.5,14.167,330,01/07/1977,31/12/1997
022260-99999 ,OSTERSUND                       ,63.2,14.5,376,01/01/1935,01/02/2023
022300-99999 ,GUBBHOGEN                       ,64.217,15.55,310,01/01/1973,01/02/2023
022310-99999 ,FOLLINGE                        ,63.683,14.6,362,01/07/2001,01/02/2023
022340-99999 ,STROMSUND                       ,63.867,15.583,373,05/01/1979,30/11/1995
022360-99999 ,HALLHAXASEN                     ,63.767,15.333,376,01/07/1977,01/02/2023
022420-99999 ,HOTING                          ,64.083,16.233,241,01/01/1973,01/02/2023
022430-99999 ,JUNSELE                         ,63.683,16.95,214,01/01/1973,01/02/2023
022450-99999 ,VILHELMINA                      ,64.583,16.85,349,01/08/1996,01/02/2023
022470-99999 ,KRANGEDE                        ,63.15,16.167,184,01/01/1973,01/02/2023
022540-99999 ,ASELE                           ,64.167,17.317,308,01/07/1977,01/02/2023
022590-99999 ,KRAMFORS SOLLEFTEA              ,63.049,17.769,10.4,01/07/1977,01/02/2023
022600-99999 ,VASTMARKUM                      ,63.133,18.25,143,01/01/1973,01/02/2023
022610-99999 ,LYCKSELE                        ,64.55,18.717,211,01/01/1973,01/02/2023
022620-99999 ,VUOGGATJALME                    ,66.567,16.35,500,01/01/1973,06/03/2004
022650-99999 ,HEMLING                         ,63.65,18.55,183,01/07/2001,01/02/2023
022670-99999 ,ORNSKOLDSVIK                    ,63.408,18.99,107.9,02/08/1979,01/02/2023
022690-99999 ,SKAGSUDDE                       ,63.183,19.017,11,01/08/1996,01/02/2023
022710-99999 ,NORSJO                          ,64.933,19.383,310,01/07/2001,01/02/2023
022820-99999 ,PETISTRASK                      ,64.567,19.7,258,01/07/2001,01/02/2023
022840-99999 ,JARNASKLUBB                     ,63.433,19.683,7,01/01/1973,01/02/2023
022860-99999 ,UMEA                            ,63.792,20.283,7.3,01/07/1977,01/02/2023
022870-99999 ,HOLMON                          ,63.8,20.867,8,24/07/2005,01/02/2023
022880-99999 ,HOLMOGADD                       ,63.6,20.75,6,01/01/1935,31/12/1997
022930-99999 ,SKELLEFTEA                      ,64.625,21.077,47.9,02/08/1979,01/02/2023
022960-99999 ,BJUROKLUBB (LGT-H)              ,64.483,21.583,36,01/01/1935,21/12/1997
022970-99999 ,BJUROKLUBB                      ,64.483,21.583,43,01/06/2001,01/02/2023
023060-99999 ,RORBACKSNAS                     ,61.133,12.817,465,01/07/1977,08/12/2017
023070-99999 ,IDRE FJALL                      ,61.883,12.85,869,01/01/1973,21/09/2022
023080-99999 ,TANNAS                          ,62.45,12.667,724,01/08/1996,01/02/2023
023100-99999 ,STORSJO KAPELL                  ,62.8,13.067,583,01/07/1977,23/01/2005
023160-99999 ,SARNA                           ,61.7,13.183,425,01/01/1935,01/02/2023
023170-99999 ,DRAVAGEN                        ,62.1,13.617,566,01/07/2001,01/02/2023
023190-99999 ,BORTNAN                         ,62.75,13.85,467,01/07/2001,01/02/2023
023210-99999 ,ALVDALEN                        ,61.25,14.033,253,01/01/1973,01/02/2023
023240-99999 ,SVEG                            ,62.017,14.183,363,01/01/1937,29/12/1997
023250-99999 ,KLOVSJOHOJDEN                   ,62.5,14.15,803,01/01/1973,01/02/2023
023260-99999 ,FREDRIKA                        ,64.083,18.417,300,01/07/1977,21/12/2004
023290-99999 ,HAMRA                           ,61.667,15,455,01/01/1973,01/02/2023
023310-99999 ,HUNGE                           ,62.75,15.083,343,01/07/2001,01/02/2023
023370-99999 ,NORRHOG                         ,62.267,15.667,320,01/01/1973,21/04/2016
023380-99999 ,EDSBYN                          ,61.367,15.717,185,01/08/1996,01/02/2023
023420-99999 ,FRANSTA                         ,62.517,16.183,105,01/07/1977,03/01/1996
023430-99999 ,TORPSHAMMAR                     ,62.5,16.283,100,01/01/1973,01/02/2023
023470-99999 ,DELSBO                          ,61.833,16.55,72,01/07/2001,01/02/2023
023550-99999 ,KUGGOREN                        ,61.7,17.533,10,01/08/1996,01/02/2023
023660-99999 ,SUNDSVALL HARNOSAND             ,62.528,17.444,4.9,01/07/1977,01/02/2023
023680-99999 ,BRAMON                          ,62.217,17.75,18,21/05/1987,01/02/2023
023760-99999 ,SODERHAMN (SWE-AFB)             ,61.267,17.1,36,01/07/1977,23/12/1997
023820-99999 ,LUNGO                           ,62.65,18.1,18,24/08/1973,01/02/2023
024000-99999 ,OSTMARK                         ,60.35,12.65,310,01/07/1977,31/12/1997
024030-99999 ,NAVEN                           ,58.7,13.117,53,01/07/2001,01/02/2023
024040-99999 ,ARVIKA                          ,59.667,12.583,75,01/07/1977,24/02/2004
024060-99999 ,BLOMSKOG                        ,59.283,12.05,110,01/07/1977,24/04/2004
024080-99999 ,BLOMSKOG                        ,59.217,12.083,171,01/08/1996,01/02/2023
024100-99999 ,MALUNG                          ,60.683,13.7,308,01/07/1977,31/12/1997
024120-99999 ,GUSTAVSFORS                     ,60.15,13.8,190,01/01/1935,26/07/2005
024180-99999 ,KARLSTAD                        ,59.445,13.337,107.3,01/01/1935,01/02/2023
024230-99999 ,SUNNE                           ,59.867,13.117,109,01/07/2001,01/02/2023
024280-99999 ,ATORP                           ,59.1,14.367,105,01/07/1977,01/08/2004
024283-99999 ,OREBRO                          ,59.224,15.038,57.3,27/08/1991,01/02/2023
024290-99999 ,DAGLOSEN                        ,59.667,14.183,133,01/07/2001,01/02/2023
024350-99999 ,BORLANGE                        ,60.422,15.515,153.3,02/08/1979,01/02/2023
024400-99999 ,AMOT                            ,60.967,16.433,162,01/06/2001,01/02/2023
024410-99999 ,MORA                            ,60.967,14.5,197,01/07/2001,01/02/2023
024430-99999 ,ENKOPING                        ,59.65,17.117,26,03/08/1979,01/02/2023
024440-99999 ,FOLKARNA                        ,60.167,16.317,70,01/07/1977,06/05/1996
024460-99999 ,VASTERAS                        ,59.589,16.634,6.4,01/07/1977,01/02/2023
024490-99999 ,ESKILSTUNA A                    ,59.383,16.45,15,01/07/2001,01/02/2023
024500-99999 ,EGGEGRUND                       ,60.733,17.567,4,01/09/1997,01/02/2023
024520-99999 ,KILSBERGEN-SUTTARBODA           ,59.3,14.9,219,01/07/2001,01/02/2023
024530-99999 ,GAVLE/SANDVIKEN AIR FORCE BAS   ,60.717,17.167,16,01/05/1996,01/02/2023
024560-99999 ,FILM                            ,60.233,17.9,35,01/02/1996,01/02/2023
024580-99999 ,UPPSALA                         ,59.897,17.589,20.7,01/01/1935,01/02/2023
024600-99999 ,ARLANDA                         ,59.652,17.919,41.8,30/06/1977,01/02/2023
024640-99999 ,BROMMA                          ,59.354,17.942,14.3,01/01/1931,01/02/2023
024680-99999 ,STORA SPANSBERGET               ,60.383,15.133,493,01/07/2001,01/02/2023
024690-99999 ,TULLINGE                        ,59.183,17.917,54,01/06/2001,01/02/2023
024740-99999 ,SINGO ISLAND                    ,60.167,18.75,14,01/07/1977,30/04/2004
024760-99999 ,FLODA                           ,59.05,16.4,33,01/08/1996,01/02/2023
024810-99999 ,SALA                            ,59.917,16.683,58,01/07/2001,01/02/2023
024820-99999 ,KERSTINBO                       ,60.267,16.983,57,01/07/2001,01/02/2023
024840-99999 ,STOCKHOLM/OBSERVATORIET         ,59.35,18.067,44,01/06/2001,01/02/2023
024853-99999 ,SKAVSTA                         ,58.789,16.912,42.7,27/08/1991,01/02/2023
024860-99999 ,ADELSO                          ,59.367,17.517,6,01/07/2001,01/02/2023
024870-99999 ,SKARPO A                        ,59.35,18.733,22,01/09/1997,01/02/2023
024880-99999 ,ORSKAR                          ,60.533,18.383,9,01/08/1996,01/02/2023
024890-99999 ,BERGA                           ,59.067,18.117,3,01/06/2001,01/02/2023
024900-99999 ,SVANBERGA                       ,59.833,18.633,16,01/07/2001,01/02/2023
024930-99999 ,SODERARM                        ,59.75,19.417,15,01/07/2001,01/02/2023
024960-99999 ,SVENSKA HOGARNA                 ,59.45,19.5,12,01/07/1977,01/06/2021
025000-99999 ,NORDKOSTER                      ,58.9,11,35,01/02/1996,01/02/2023
025050-99999 ,MASESKAR                        ,58.1,11.333,16,01/08/1996,01/02/2023
025080-99999 ,MASESKAR (LGT-H)                ,58.1,11.35,14,01/01/1973,01/10/1997
025103-99999 ,TROLLHATTAN VANERSBORG          ,58.318,12.345,41.8,27/08/1991,01/02/2023
025120-99999 ,SAVE                            ,57.775,11.87,18,01/01/1935,01/02/2023
025130-99999 ,GOTEBORG                        ,57.717,12,2,01/05/1996,01/02/2023
025160-99999 ,VINGA                           ,57.633,11.617,19,01/09/1996,01/02/2023
025180-99999 ,NIDINGEN                        ,57.3,11.9,2,01/01/1973,01/02/2023
025200-99999 ,SATENAS                         ,58.426,12.714,55.2,01/07/1977,01/02/2023
025240-99999 ,MOLLA                           ,57.933,13.067,190,01/01/1973,31/03/2006
025260-99999 ,LANDVETTER                      ,57.663,12.28,154.2,03/10/1977,01/02/2023
025300-99999 ,NASHUVUD                        ,58.9,13.25,50,01/07/1977,27/01/1996
025350-99999 ,SKOVDE                          ,58.456,13.973,98.8,27/08/1991,31/03/2022
025360-99999 ,RANGEDALA                       ,57.783,13.167,299,01/07/1977,01/02/2023
025390-99999 ,ULLARED                         ,57.117,12.783,122,01/07/2001,01/02/2023
025400-99999 ,KROPPEFJALL-GRANAN              ,58.6,12.2,174,01/07/2001,01/02/2023
025420-99999 ,HALLUM                          ,58.317,13.033,71,01/07/2001,01/02/2023
025440-99999 ,KARLSBORG                       ,58.517,14.517,94,01/07/1977,01/02/2023
025460-99999 ,GARDSJO                         ,58.883,14.383,212,01/07/2001,01/02/2023
025480-99999 ,VISINGSO                        ,58.1,14.417,95,01/06/2001,01/02/2023
025490-99999 ,TOMTABACKEN                     ,57.5,14.467,356,01/07/2001,01/02/2023
025500-99999 ,JONKOPING                       ,57.758,14.069,225.9,01/01/1931,01/02/2023
025520-99999 ,MALEXANDER                      ,58.067,15.233,197,01/07/2001,01/02/2023
025540-99999 ,KETTSTAKA                       ,58.717,15.033,225,01/07/2001,01/02/2023
025550-99999 ,NASSJO                          ,57.65,14.7,305,01/07/1977,02/01/2003
